"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Male","66 years","Galway County","Number","771"
"Population","2011","Male","66 years","Kildare","Number","693"
"Population","2011","Male","66 years","Kilkenny","Number","431"
"Population","2011","Male","66 years","Kerry","Number","772"
"Population","2011","Male","66 years","Longford","Number","172"
"Population","2011","Male","66 years","Louth","Number","442"
"Population","2011","Male","66 years","Limerick City and County","Number","793"
"Population","2011","Male","66 years","Leitrim","Number","165"
"Population","2011","Male","66 years","Laois","Number","297"
"Population","2011","Male","66 years","Meath","Number","654"
"Population","2011","Male","66 years","Monaghan","Number","251"
"Population","2011","Male","66 years","Mayo","Number","632"
"Population","2011","Male","66 years","Offaly","Number","315"
"Population","2011","Male","66 years","Roscommon","Number","309"
"Population","2011","Male","66 years","South Dublin","Number","869"
"Population","2011","Male","66 years","Sligo","Number","290"
"Population","2011","Male","66 years","Tipperary","Number","721"
"Population","2011","Male","66 years","Waterford City and County","Number","488"
"Population","2011","Male","66 years","Westmeath","Number","347"
"Population","2011","Male","66 years","Wicklow","Number","575"
"Population","2011","Male","66 years","Wexford","Number","599"
"Population","2011","Male","67 years","State","Number","17325"
"Population","2011","Male","67 years","Cork City and Cork County","Number","1945"
"Population","2011","Male","67 years","Clare","Number","546"
"Population","2011","Male","67 years","Cavan","Number","289"
"Population","2011","Male","67 years","Carlow","Number","196"
"Population","2011","Male","67 years","Dublin City","Number","1722"
"Population","2011","Male","67 years","Donegal","Number","723"
"Population","2011","Male","67 years","Dún Laoghaire-Rathdown","Number","824"
"Population","2011","Male","67 years","Fingal","Number","764"
"Population","2011","Male","67 years","Galway City","Number","210"
"Population","2011","Male","67 years","Galway County","Number","697"
"Population","2011","Male","67 years","Kildare","Number","649"
"Population","2011","Male","67 years","Kilkenny","Number","391"
"Population","2011","Male","67 years","Kerry","Number","707"
"Population","2011","Male","67 years","Longford","Number","160"
"Population","2011","Male","67 years","Louth","Number","495"
"Population","2011","Male","67 years","Limerick City and County","Number","778"
"Population","2011","Male","67 years","Leitrim","Number","153"
"Population","2011","Male","67 years","Laois","Number","268"
"Population","2011","Male","67 years","Meath","Number","584"
"Population","2011","Male","67 years","Monaghan","Number","250"
"Population","2011","Male","67 years","Mayo","Number","637"
"Population","2011","Male","67 years","Offaly","Number","278"
"Population","2011","Male","67 years","Roscommon","Number","326"
"Population","2011","Male","67 years","South Dublin","Number","819"
"Population","2011","Male","67 years","Sligo","Number","277"
"Population","2011","Male","67 years","Tipperary","Number","671"
"Population","2011","Male","67 years","Waterford City and County","Number","466"
"Population","2011","Male","67 years","Westmeath","Number","305"
"Population","2011","Male","67 years","Wicklow","Number","529"
"Population","2011","Male","67 years","Wexford","Number","666"
"Population","2011","Male","68 years","State","Number","16125"
"Population","2011","Male","68 years","Cork City and Cork County","Number","1700"
"Population","2011","Male","68 years","Clare","Number","455"
"Population","2011","Male","68 years","Cavan","Number","267"
"Population","2011","Male","68 years","Carlow","Number","197"
"Population","2011","Male","68 years","Dublin City","Number","1704"
"Population","2011","Male","68 years","Donegal","Number","700"
"Population","2011","Male","68 years","Dún Laoghaire-Rathdown","Number","806"
"Population","2011","Male","68 years","Fingal","Number","668"
"Population","2011","Male","68 years","Galway City","Number","202"
"Population","2011","Male","68 years","Galway County","Number","688"
"Population","2011","Male","68 years","Kildare","Number","605"
"Population","2011","Male","68 years","Kilkenny","Number","361"
"Population","2011","Male","68 years","Kerry","Number","694"
"Population","2011","Male","68 years","Longford","Number","146"
"Population","2011","Male","68 years","Louth","Number","412"
"Population","2011","Male","68 years","Limerick City and County","Number","697"
"Population","2011","Male","68 years","Leitrim","Number","140"
"Population","2011","Male","68 years","Laois","Number","265"
"Population","2011","Male","68 years","Meath","Number","559"
"Population","2011","Male","68 years","Monaghan","Number","259"
"Population","2011","Male","68 years","Mayo","Number","592"
"Population","2011","Male","68 years","Offaly","Number","312"
"Population","2011","Male","68 years","Roscommon","Number","273"
"Population","2011","Male","68 years","South Dublin","Number","717"
"Population","2011","Male","68 years","Sligo","Number","286"
"Population","2011","Male","68 years","Tipperary","Number","621"
"Population","2011","Male","68 years","Waterford City and County","Number","469"
"Population","2011","Male","68 years","Westmeath","Number","258"
"Population","2011","Male","68 years","Wicklow","Number","513"
"Population","2011","Male","68 years","Wexford","Number","559"
"Population","2011","Male","69 years","State","Number","14672"
"Population","2011","Male","69 years","Cork City and Cork County","Number","1755"
"Population","2011","Male","69 years","Clare","Number","393"
"Population","2011","Male","69 years","Cavan","Number","242"
"Population","2011","Male","69 years","Carlow","Number","157"
"Population","2011","Male","69 years","Dublin City","Number","1533"
"Population","2011","Male","69 years","Donegal","Number","640"
"Population","2011","Male","69 years","Dún Laoghaire-Rathdown","Number","753"
"Population","2011","Male","69 years","Fingal","Number","631"
"Population","2011","Male","69 years","Galway City","Number","211"
"Population","2011","Male","69 years","Galway County","Number","653"
"Population","2011","Male","69 years","Kildare","Number","522"
"Population","2011","Male","69 years","Kilkenny","Number","339"
"Population","2011","Male","69 years","Kerry","Number","547"
"Population","2011","Male","69 years","Longford","Number","127"
"Population","2011","Male","69 years","Louth","Number","368"
"Population","2011","Male","69 years","Limerick City and County","Number","636"
"Population","2011","Male","69 years","Leitrim","Number","114"
"Population","2011","Male","69 years","Laois","Number","210"
"Population","2011","Male","69 years","Meath","Number","475"
"Population","2011","Male","69 years","Monaghan","Number","185"
"Population","2011","Male","69 years","Mayo","Number","530"
"Population","2011","Male","69 years","Offaly","Number","226"
"Population","2011","Male","69 years","Roscommon","Number","244"
"Population","2011","Male","69 years","South Dublin","Number","666"
"Population","2011","Male","69 years","Sligo","Number","238"
"Population","2011","Male","69 years","Tipperary","Number","540"
"Population","2011","Male","69 years","Waterford City and County","Number","431"
"Population","2011","Male","69 years","Westmeath","Number","267"
"Population","2011","Male","69 years","Wicklow","Number","456"
"Population","2011","Male","69 years","Wexford","Number","583"
"Population","2011","Male","70 years","State","Number","13842"
"Population","2011","Male","70 years","Cork City and Cork County","Number","1542"
"Population","2011","Male","70 years","Clare","Number","409"
"Population","2011","Male","70 years","Cavan","Number","229"
"Population","2011","Male","70 years","Carlow","Number","172"
"Population","2011","Male","70 years","Dublin City","Number","1479"
"Population","2011","Male","70 years","Donegal","Number","573"
"Population","2011","Male","70 years","Dún Laoghaire-Rathdown","Number","710"
"Population","2011","Male","70 years","Fingal","Number","549"
"Population","2011","Male","70 years","Galway City","Number","165"
"Population","2011","Male","70 years","Galway County","Number","579"
"Population","2011","Male","70 years","Kildare","Number","422"
"Population","2011","Male","70 years","Kilkenny","Number","313"
"Population","2011","Male","70 years","Kerry","Number","590"
"Population","2011","Male","70 years","Longford","Number","127"
"Population","2011","Male","70 years","Louth","Number","376"
"Population","2011","Male","70 years","Limerick City and County","Number","652"
"Population","2011","Male","70 years","Leitrim","Number","131"
"Population","2011","Male","70 years","Laois","Number","212"
"Population","2011","Male","70 years","Meath","Number","470"
"Population","2011","Male","70 years","Monaghan","Number","173"
"Population","2011","Male","70 years","Mayo","Number","530"
"Population","2011","Male","70 years","Offaly","Number","211"
"Population","2011","Male","70 years","Roscommon","Number","229"
"Population","2011","Male","70 years","South Dublin","Number","667"
